restaurantName	address	city	postalCode	country	region	priceRange	cuisineType	description	facilitiesServices	creditCards	phoneNumber	website
Caffè La Crepa	piazza Matteotti 14	Isola Dovarese	26031	ITA	Lombardy	€€	Lombardian	Overlooking a picturesque Renaissance square, the café here dates back to the early 19C and the trattoria shortly after. Today, the decor is a nostalgic mix of styles from the mid-19C to the mid-...	Interesting wine list, Terrace	Amex, Mastercard, Visa	+39 0375 396161	http://www.caffelacrepa.it
Terramira	piazza della Vittoria 13	Capolona	52010	ITA	Tuscany	€€€€	Contemporary, Tuscan	Having gained valuable experience elsewhere, the Scapecchi brothers are now back in Arezzo, where their restaurant offers views of the River Arno from its beautiful and softly lit dining room. ...	Air conditioning, Great view	Amex, Mastercard, Visa	+39 0575 420989	https://terramira.it
Fàula	Località Talloria 1	Cerretto Langhe	12050	ITA	Piedmont	€€€	Piedmontese, Modern Cuisine	Fàula is the restaurant at the Casa Langa hotel, a large property which opens out like an amphitheatre to offer panoramic views of the valley. Here, the young chef skilfully creates cuisine which ...	Air conditioning, Car park, Garden or park, Great view, Terrace, Wheelchair access	Amex, Mastercard, Visa	+39 0173 520520	https://www.casadilanga.com/it/food-drink/faula/
Il Fenicottero Rosa Gourmet	via Emilia Ponente 23	Faenza	48018	ITA	Emilia-Romagna	€€€	Contemporary, Seafood	Situated within the Villa Abbondanzi luxury hotel, this restaurant is surrounded by a large park home to a flock of flamingos (fenicottero is the Italian for flamingo). Stylish and elegant dining ...	Air conditioning, Car park, Garden or park, Terrace	Amex, Mastercard, Visa	+39 0546 622672	https://www.villa-abbondanzi.com/ristorante-fenicottero-rosa-gourmet.php
Acqua Pazza	via Dietro la Chiesa 3/4	Ponza	04027	ITA	Lazio	€€€	Seafood	Arranged on a series of multi-levelled terraces, the tables at this restaurant boast breathtaking views of the semicircular port, as well as much of the island extending out to sea as far as Gavi ...	Air conditioning, Great view, Interesting wine list, Terrace	Amex, Mastercard, Visa	+39 0771 80643	https://www.acquapazza.com/
Repubblica di Perno	vicolo Cavour 5, loc. Perno	Monforte d'Alba	12065	ITA	Piedmont	€€	Piedmontese	Situated in the heart of the gastronomic Langa region, this small, renovated restaurant in the centre of town (reservations required) is imbued with the passion of the couple at the helm (he’s in ...	Terrace	Mastercard, Visa	+39 0173 78492	http://www.repubblicadiperno.it
MARdiVINO	strada del Nascimben 1/a	Treviso	31100	ITA	Veneto	€€	Seafood	Francesco is in the kitchen and his partner is front of house in this bright, modern and elegant restaurant serving beautifully prepared dishes in which fish takes pride of place. Contemporary ...	Air conditioning, Terrace, Wheelchair access	Amex, Mastercard, Visa	+39 0422 346542	https://www.ristorantemardivino.it/
La Madernassa	località Lora 2	Guarene	12050	ITA	Piedmont	€€€€	Creative	Situated in one of the most magical locations of the Roero region, this restaurant boasts a terrace with breathtaking views of the Langhe. Here, Giuseppe D'Errico serves dishes on a series of set ...	Air conditioning, Car park, Garden or park, Interesting wine list, Restaurant offering vegetarian menus, Terrace	Amex, Mastercard, Visa	+39 0173 611716	https://www.lamadernassa.it/
Osteria del Tasso	via Bolgherese km 3,9, località San Walfredo	Bolgheri	57020	ITA	Tuscany	€€	Italian, Meats and Grills	Just a stone’s throw from the famous Viale dei Cipressi avenue in one of Italy’s best-known wine-producing areas, this restaurant occupies one of the region’s most famous wineries, namely Guado al...	Car park, Garden or park, Terrace	Amex, Mastercard, Visa	+39 0565 182 8061	https://www.osteriadeltasso.com
Da Sapì	via Giuseppe Mazzini 36	Esine	25040	ITA	Lombardy	€€	Lombardian, Contemporary	Contemporary-style cuisine with a regional focus and carefully selected local produce are the hallmarks of this restaurant now run by the fourth generation of the same family. The menu features ...	Air conditioning, Terrace, Wheelchair access	Amex, Mastercard, Visa	+39 0364 46052	https://www.ristorantesapi.com/
Comi 107	via Borgo Vico 107	Como	22100	ITA	Lombardy	€€€	Contemporary, Seafood	Situated near the lake at the entrance to a narrow street dotted with various shops, this small contemporary-style restaurant boasts an equally tiny outdoor space for summer dining and is run with...	Air conditioning, Terrace	Amex, Mastercard, Visa	+39 031 249 5982	https://www.comi107.com
Locale	via delle Seggiole 12r	Florence	50122	ITA	Tuscany	€€€€	Contemporary, Creative	Situated within a palazzo full of history, from the medieval basement to the Renaissance-style architecture of the restaurant itself, Locale is also home to an old courtyard with a lounge bar and ...	Air conditioning, Interesting wine list, Restaurant offering vegetarian menus	Amex, Mastercard, Visa	+39 055 906 7188	http://www.localefirenze.it
Al Persef	via Saroch 1272	Livigno	23041	ITA	Lombardy	€€€	Modern Cuisine	A small yet very comfortable dining room with large windows and just a few tables provides the setting for modern, creative cuisine prepared by a young and ambitious chef. Locally sourced ...	Car park, Terrace	Amex, Mastercard, Visa	+39 0342 996665	https://www.ristorantealperseflivigno.com
Retrobottega	via della Stelletta 4	Rome	00186	ITA	Lazio	€€€	Italian Contemporary	Minimalist decor and clean lines characterise this restaurant decorated in dark tones, where the two owner-chefs have both worked in various Michelin-starred restaurants (and others) over the ...	Air conditioning, Restaurant offering vegetarian menus	Amex, Mastercard, Visa	+39 06 6813 6310	https://www.retro-bottega.com
Lofficina	via Piave 11	Sirolo	60020	ITA	Marche	€€	Creative, Contemporary	This building with a minimalist, contemporary design is situated on the edge of the historic centre at the Sant'Erasmo belvedere from where, in summer, panoramic views extend over Monte Conero and...	Air conditioning, Great view, Terrace, Wheelchair access	Amex, Mastercard, Visa	+39 071 933 1628	https://www.lofficinasirolo.com
Villa Lattanzi	contrada Cugnolo 19	Torre di Palme	63900	ITA	Marche	€€€	Italian Contemporary, Modern Cuisine	This gourmet restaurant housed in a restored period residence that once belonged to the counts of Adami is surrounded by the green maquis and hills of the Marche, with the sea visible in the ...	Air conditioning, Car park, Garden or park, Terrace, Wheelchair access	Amex, Mastercard, Visa	+39 0734 53711	https://www.villalattanzi.it/
